Identificador de la vivienda,Mujer,Edad,Tamaño de localidad,Agua de la red pública,Confianza con la salud,Continuidad en el suministro,Agua para beber,Alimentos descongelados,Energía para cocinar,Recolección de basura,Separación de basura,Número de vehículos,Elección de productos de limpieza,Elección de alimentos,Especificación de alimentos,Menos empaques,Reusar empaques,Gasto de gasolina,Fenómeno climático,Cultivos
504938130,1,54,1,1,2,2,1,1,3,1,2,1,6,2, ,3,3,3,1,2
902214062,1,34,1,1,2,2,1,1,3,1,1,1,4,2, ,3,3,3,2, 
902387060,1,59,1,1,1,1,1,1,3,1,1,1,1,2, ,3,3,3,2, 
903947096,1,50,1,1,1,3,1,2,3,1,1,1,4,2, ,3,3,3,2, 
904281066,1,22,1,1,2,2,1,1,3,1,1,0,2,2, ,2,2,3,2, 
906135063,1,68,1,1,1,3,1,1,3,1,1,1,1,2, ,3,3,3,2, 
906636001,1,59,1,1,3,3,2,1,4,1,1,0,5,2, ,3,3,3,2, 
912152090,1,69,1,1,2,3,1,1,4,1,1,3,1,2, ,3,3,1,2, 
912628115,1,67,1,1,3,3,2,1,3,1,1,0,1,2, ,3,3,3,2, 
912771138,1,56,1,1,3,3,1,1,3,1,1,1,5,2, ,3,3,3,2, 
912771179,1,25,1,1,3,3,1,1,3,1,1,0,5,2, ,3,3,3,2, 
560006020,1,70,4,1,3,2,1,2,3,1,1,0,4,2, ,3,3,3,1,2
913479013,1,36,1,1,1,2,1,2,3,1,1,1,4,2, ,3,3,3,2, 
914020015,1,26,1,1,2,3,1,2,3,1,1,0,2,2, ,3,3,3,2, 
914557039,1,46,1,1,3,3,2,1,3,2,1,2,1,2, ,3,3,3,2, 
914596001,1,45,1,1,2,3,1,1,3,1,1,1,4,2, ,3,3,3,2, 
915046008,1,42,1,1,3,1,1,1,3,1,1,0,4,2, ,3,3,2,2, 
600328048,1,29,1,1,2,3,1,1,3,1,1,1,4,2, ,3,3,3,1,2
915250037,1,52,1,1,3,2,1,2,3,1,1,0,4,2, ,3,3,3,2, 
915250096,1,60,1,1,3,2,2,2,3,1,1,0,6,2, ,3,3,3,2, 
915748086,1,61,1,1,3,3,1,2,3,1,1,1,6,2, ,3,3,1,2, 
601157017,1,46,1,1,2,3,1,2,3,1,2,0,1,2, ,3,3,1,1,2
917942026,1,32,1,1,3,3,1,1,4,2,1,1,4,2, ,3,1,3,2, 
917942052,1,54,1,1,1,1,1,1,3,1,1,3,2,2, ,3,3,1,2, 
918635033,1,29,1,1,3,3,1,1,4,2,1,1,5,2, ,3,3,2,2, 
919893047,1,54,1,1,1,1,1,1,3,1,1,0,1,2, ,3,3,3,2, 
920370028,1,58,1,1,2,3,1,1,3,1,1,1,4,2, ,2,3,3,2, 
1000067095,1,54,1,1,3,3,1,2,3,1,2,1,1,2, ,3,3,2,2, 
1000256016,1,32,1,1,3,3,1,2,3,1,2,1,5,2, ,3,3,3,2, 
1000438059,1,52,1,1,3,3,1,1,3,1,1,1,1,2, ,3,3,3,2, 
601548051,1,35,1,1,2,2,1,2,3,1,1,0,1,2, ,2,2,2,1,2
1000521019,1,61,1,1,3,3,1,2,3,1,2,1,1,2, ,3,3,3,2, 
1000881034,1,41,1,1,3,3,1,2,3,1,2,1,4,2, ,3,3,3,2, 
1001360285,1,24,1,1,3,3,1,1,3,1,2,0,4,2, ,3,3,3,2, 
1001647033,1,18,1,1,2,3,1,2,3,1,2,0,1,2, ,3,3,3,2, 
701374011,1,65,1,1,2,1,1,2,3,1,2,0,5,2, ,3,3,3,1,2
1001881073,1,67,1,1,1,3,1,2,3,1,1,3,5,2, ,3,3,2,2, 
1002697097,1,22,2,1,1,3,1,2,3,1,1,1,5,2, ,3,3,3,2, 
1002697149,1,39,2,1,1,3,1,1,3,1,2,1,1,2, ,3,3,3,2, 
1002856286,1,76,3,1,2,1,1,2,3,1,1,0,6,2, ,3,3,3,2, 
1002860004,1,41,3,1,3,2,1,1,3,1,2,1,1,2, ,3,3,3,2, 
1002860192,1,25,3,1,2,2,1,1,3,1,2,0,4,2, ,3,3,3,2, 
1003455050,1,24,3,1,2,2,1,1,3,1,2,1,1,2, ,3,3,3,2, 
703073104,1,22,2, , , ,1,1,3,1,1,0,3,2, ,3,3,3,1,1
1060030180,1,80,4,1,3,3,1,2,3,1,2,1,5,2, ,2,2,3,2, 
1060030230,1,57,4,1,2,3,3,1,3,1,1,1,2,2, ,3,3,3,2, 
1060133172,1,8,4,1,2,2,1,1,3,1,2,1,6,2, ,3,3,3,2, 
1060139078,1,48,4,1,3,2,1,2,3,3,2,1,4,2, ,3,3,3,2, 
760649092,1,56,4,1,3,3,1,2,1,1,2,2,1,2, ,3,3,1,1,2
1060148122,1,79,4,1,2,1,1,2,1,3,2,0,5,2, ,3,3,3,2, 
1100702087,1,53,1,1,3,3,1,2,3,1,1,1,3,2, ,3,3,3,2, 
1101038025,1,61,1,1,1,3,1,2,3,1,2,1,1,2, ,3,3,3,2, 
